Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
1,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
2,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
3,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
10,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
11,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
13,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
14,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,GMR15R,462.550000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
23,GMR16R,462.575000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
24,GMR17R,462.600000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
25,GMR18R,462.625000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
26,GMR19R,462.650000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
27,GMR20R,462.675000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
28,GMR21R,462.700000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
29,GMR22R,462.725000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
30,GM725R,462.725000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
31,WPTU754,462.550000,+,5.000000,TSQL,156.7,156.7,023,NN,FM,5.00,,,,,,
32,BOONE87,462.625000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
33,MURS 1,151.820000,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
34,MURS 2,151.880000,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
35,MURS 3,151.940000,,0.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
36,MURS 4,154.570000,,0.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
37,MURS 5,154.600000,,0.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
38,WX 1,162.550000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
39,WX 2,162.400000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
40,WX 3,162.475000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
41,WX 4,162.425000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
42,WX 5,162.450000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
43,WX 6,162.500000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
44,WX 7,162.525000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
45,SAREMT,155.160000,,0.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
46,HAM 42,146.420000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
47,HAM 52,146.520000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
48,HAM 55,146.550000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
49,HAMUHF,446.000000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
50,HAM U3,446.030000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
51,KB9GYO,147.285000,+,0.600000,Tone,146.2,88.5,023,NN,FM,5.00,,,,,,
52,K8SCH,146.670000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
53,K8SCH,146.925000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
54,N8SIM,145.310000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
55,K8YOJ,145.370000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
56,WC8VOA,145.390000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
57,WB8CRS,147.030000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
58,W8MRC,147.345000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
59,K8YOJ,146.850000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
60,W8WRK,146.700000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
61,WR8CRA,146.760000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
62,K8BIG,147.090000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
63,WB8CRS,146.880000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
64,K8CLA,147.150000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
65,W8BRQ,145.130000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
66,K8SCH,146.625000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
67,W8VND,147.240000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
68,W8YX,147.060000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
69,K4CO,147.255000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
70,W4YWH,146.790000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
71,K4CO,146.895000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
72,K4CO,147.375000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
73,KD8WDU,443.950000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
74,KB9GYO,443.875000,+,5.000000,Tone,146.2,88.5,023,NN,FM,5.00,,,,,,
75,WC8RA,442.325000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
76,W8VVL,442.700000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
77,WD8KPU,442.775000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
78,W8ESS,444.225000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
79,W8ESS,442.275000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
80,K8YOJ,444.862500,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
81,KB8BWE,444.750000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
82,K8CF,444.925000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
83,K8CR,443.575000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
84,K8DV,443.450000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
85,NE7AL,444.625000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
86,N8TVU,444.300000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,,,,,
87,W8NWS,443.700000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,W8SAI,444.950000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,,,,,
89,WB8BFS,443.800000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,WB8WFG,444.150000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,N8JRX,442.200000,+,5.000000,Tone,192.8,88.5,023,NN,FM,5.00,,,,,,
92,WU8S,444.525000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
93,AD4CC,441.800000,+,5.000000,Tone,179.9,88.5,023,NN,FM,5.00,,,,,,
94,W8KJ,443.575000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,W8GFT,444.275000,+,5.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
96,WC8VOA,443.650000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
97,W8SDR,443.737500,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,ICE,165.837500,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
118,ISS,145.800000,off,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
